obs_id,species,stage,character,state,source
,Apolemia uvaria,adult,Heteroneme type,Birrhopaloides,Mackie1987_Siphbio
,Apolemia uvaria,adult,Heteroneme type,Stenoteles,Mackie1987_Siphbio
,Apolemia uvaria,adult,Heteroneme type,Microbasic mastigophores,Mackie1987_Siphbio
,Apolemia uvaria,adult,Haploneme type,Isorhizas,Mackie1987_Siphbio
,Rhizophysa filiformis,adult,Heteroneme type,Stenoteles,Mackie1987_Siphbio
,Rhizophysa filiformis,adult,Haploneme type,Isorhizas,Mackie1987_Siphbio
,Rosacea flaccida,adult,Terminal filament nematocyst arrangement,1Desmonemes,2Rhopalonemes,Mackie1987_Siphbio
,Agalma okeni,adult,Heteroneme type,Microbasic mastigophores,Mackie1987_Siphbio
,Agalma elegans,adult,Heteroneme type,Microbasic mastigophores,Mackie1987_Siphbio
,Agalma clausi,adult,Heteroneme type,Microbasic mastigophores,Mackie1987_Siphbio
,Bathyphysa conifera,adult,Tentilla,0,Mackie1987_Siphbio
,Bathyphysa sibogae,adult,Tentilla,1,Mackie1987_Siphbio
,Praya reticulata,adult,Fishing posture,Curtain,Mackie1987_Siphbio
,Apolemia uvaria,adult,Fishing posture,Curtain,Mackie1987_Siphbio
,Chelophyes appendiculata,adult,Diel feeding,Nocturnal,Mackie1987_Siphbio
,Diphyes dispar,adult,Diel feeding,Nocturnal,Mackie1987_Siphbio
,Muggiaea atlantica,adult,Diel feeding,Nocturnal,Mackie1987_Siphbio
,Hippopodius hippopus,adult,Diel feeding,Nocturnal,Mackie1987_Siphbio
,Physalia physalis,adult,Gut contents,Herring,Mackie1987_Siphbio
,Physalia physalis,adult,Gut contents,Flying fish,Mackie1987_Siphbio
,Physalia physalis,adult,Gut contents,Silversides,Mackie1987_Siphbio
,Physalia physalis,adult,Cephalopod diet,1,Mackie1987_Siphbio
,Physalia physalis,adult,Chaetognath diet,1,Mackie1987_Siphbio
,Forskalia contorta,adult,Gut contents,Fish,MackieBoag1963
,Nanomia cara,adult,Heteroneme type,Euryteles,MackieBoag1963
,Erenna richardi,adult,Haploneme type,Atrichous isorhizas,Margulis1977_Erenna1
